"filename", "language", "HTML", "JavaScript", "Markdown", "PostCSS", "comment", "blank", "total"
"c:\academia\src\portforio-yamaki\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 1
"c:\academia\src\portforio-yamaki\about.html", "HTML", 125, 0, 0, 0, 0, 24, 149
"c:\academia\src\portforio-yamaki\contact.html", "HTML", 140, 0, 0, 0, 0, 19, 159
"c:\academia\src\portforio-yamaki\css\style.css", "PostCSS", 0, 0, 0, 632, 27, 109, 768
"c:\academia\src\portforio-yamaki\design\class-diagram.html", "HTML", 431, 0, 0, 0, 0, 47, 478
"c:\academia\src\portforio-yamaki\design\logic-explanation.html", "HTML", 534, 0, 0, 0, 0, 89, 623
"c:\academia\src\portforio-yamaki\design\method-list.html", "HTML", 512, 0, 0, 0, 0, 27, 539
"c:\academia\src\portforio-yamaki\design\system-flow.html", "HTML", 365, 0, 0, 0, 0, 40, 405
"c:\academia\src\portforio-yamaki\docs\01-proposal.html", "HTML", 371, 0, 0, 0, 0, 30, 401
"c:\academia\src\portforio-yamaki\docs\02-market-research.html", "HTML", 262, 0, 0, 0, 0, 30, 292
"c:\academia\src\portforio-yamaki\docs\03-persona.html", "HTML", 204, 0, 0, 0, 0, 28, 232
"c:\academia\src\portforio-yamaki\docs\04-sitemap.html", "HTML", 644, 0, 0, 0, 0, 23, 667
"c:\academia\src\portforio-yamaki\docs\05-wireframe.html", "HTML", 160, 0, 0, 0, 0, 29, 189
"c:\academia\src\portforio-yamaki\docs\06-design-guide.html", "HTML", 218, 0, 0, 0, 0, 36, 254
"c:\academia\src\portforio-yamaki\docs\07-specification.html", "HTML", 213, 0, 0, 0, 0, 35, 248
"c:\academia\src\portforio-yamaki\docs\08-db-design.html", "HTML", 155, 0, 0, 0, 0, 29, 184
"c:\academia\src\portforio-yamaki\docs\09-test-report.html", "HTML", 157, 0, 0, 0, 0, 28, 185
"c:\academia\src\portforio-yamaki\docs\10-retrospective.html", "HTML", 212, 0, 0, 0, 0, 32, 244
"c:\academia\src\portforio-yamaki\index.html", "HTML", 157, 0, 0, 0, 0, 23, 180
"c:\academia\src\portforio-yamaki\js\main.js", "JavaScript", 0, 170, 0, 0, 11, 21, 202
"c:\academia\src\portforio-yamaki\process.html", "HTML", 191, 0, 0, 0, 0, 19, 210
"c:\academia\src\portforio-yamaki\prompt-guide.html", "HTML", 175, 0, 0, 0, 0, 32, 207
"c:\academia\src\portforio-yamaki\prompts\prompt-function.html", "HTML", 331, 0, 0, 0, 10, 85, 426
"c:\academia\src\portforio-yamaki\prompts\prompt-log.html", "HTML", 374, 0, 0, 0, 6, 28, 408
"c:\academia\src\portforio-yamaki\prompts\prompt-step.html", "HTML", 434, 0, 0, 0, 9, 78, 521
"c:\academia\src\portforio-yamaki\skills.html", "HTML", 240, 0, 0, 0, 0, 25, 265
"c:\academia\src\portforio-yamaki\templates\about.html", "HTML", 100, 0, 0, 0, 0, 22, 122
"c:\academia\src\portforio-yamaki\templates\contact.html", "HTML", 128, 0, 0, 0, 0, 19, 147
"c:\academia\src\portforio-yamaki\templates\css\style.css", "PostCSS", 0, 0, 0, 640, 27, 110, 777
"c:\academia\src\portforio-yamaki\templates\design\class-diagram.html", "HTML", 459, 0, 0, 0, 0, 36, 495
"c:\academia\src\portforio-yamaki\templates\design\logic-explanation.html", "HTML", 500, 0, 0, 0, 0, 80, 580
"c:\academia\src\portforio-yamaki\templates\design\method-list.html", "HTML", 469, 0, 0, 0, 0, 19, 488
"c:\academia\src\portforio-yamaki\templates\design\system-flow.html", "HTML", 363, 0, 0, 0, 0, 28, 391
"c:\academia\src\portforio-yamaki\templates\docs\01-proposal.html", "HTML", 165, 0, 0, 0, 0, 25, 190
"c:\academia\src\portforio-yamaki\templates\docs\02-market-research.html", "HTML", 160, 0, 0, 0, 0, 24, 184
"c:\academia\src\portforio-yamaki\templates\docs\03-persona.html", "HTML", 136, 0, 0, 0, 0, 24, 160
"c:\academia\src\portforio-yamaki\templates\docs\04-sitemap.html", "HTML", 137, 0, 0, 0, 0, 21, 158
"c:\academia\src\portforio-yamaki\templates\docs\05-wireframe.html", "HTML", 115, 0, 0, 0, 0, 24, 139
"c:\academia\src\portforio-yamaki\templates\docs\06-design-guide.html", "HTML", 137, 0, 0, 0, 0, 24, 161
"c:\academia\src\portforio-yamaki\templates\docs\07-specification.html", "HTML", 148, 0, 0, 0, 0, 25, 173
"c:\academia\src\portforio-yamaki\templates\docs\08-db-design.html", "HTML", 106, 0, 0, 0, 0, 20, 126
"c:\academia\src\portforio-yamaki\templates\docs\09-test-report.html", "HTML", 132, 0, 0, 0, 0, 23, 155
"c:\academia\src\portforio-yamaki\templates\docs\10-retrospective.html", "HTML", 141, 0, 0, 0, 0, 21, 162
"c:\academia\src\portforio-yamaki\templates\index.html", "HTML", 150, 0, 0, 0, 0, 21, 171
"c:\academia\src\portforio-yamaki\templates\js\main.js", "JavaScript", 0, 133, 0, 0, 11, 16, 160
"c:\academia\src\portforio-yamaki\templates\process.html", "HTML", 166, 0, 0, 0, 0, 19, 185
"c:\academia\src\portforio-yamaki\templates\prompts\prompt-function.html", "HTML", 95, 0, 0, 0, 10, 32, 137
"c:\academia\src\portforio-yamaki\templates\prompts\prompt-log.html", "HTML", 364, 0, 0, 0, 6, 28, 398
"c:\academia\src\portforio-yamaki\templates\prompts\prompt-step.html", "HTML", 190, 0, 0, 0, 9, 32, 231
"c:\academia\src\portforio-yamaki\templates\skills.html", "HTML", 217, 0, 0, 0, 0, 22, 239
"c:\academia\src\portforio-yamaki\templates\works.html", "HTML", 118, 0, 0, 0, 0, 20, 138
"c:\academia\src\portforio-yamaki\works.html", "HTML", 132, 0, 0, 0, 0, 17, 149
"c:\academia\src\portforio-yamaki\works_2.html", "HTML", 143, 0, 0, 0, 0, 16, 159
"c:\academia\src\portforio-yamaki\works_3.html", "HTML", 151, 0, 0, 0, 0, 15, 166
"c:\academia\src\portforio-yamaki\works_4.html", "HTML", 153, 0, 0, 0, 0, 15, 168
"Total", "-", 11880, 303, 1, 1272, 126, 1764, 15346